Object Type,Object Name,Control Name,Property Name,Old Value,New Value,Time
"Report","InHouseRepairOrder","Source","ControlSource","Source","tblCustomers.SOURCE","07/20/12 16:22:51"
"Query","qryRepairOrderSumary",,,"SELECT tblRepairWorkOrderDetail.[RepairOrderNo], [tblRepairWorkOrderDetail].[REPAIRS DONE BY SUB], [tblRepairWorkOrderDetail].[RETURN DATE], [tblRepairWorkOrderDetail].CustID FROM tblRepairWorkOrderDetail; ","SELECT tblRepairWorkOrderDetail.[RepairOrderNo], tblRepairWorkOrderDetail.[REPAIRSDONEBY], [tblRepairWorkOrderDetail].[RETURN DATE], [tblRepairWorkOrderDetail].CustID FROM tblRepairWorkOrderDetail; ","07/27/12 19:28:20"
"Form","qryRepairOrderSumarysubform",,"RecordSource","SELECT [qryRepairOrderSumary].RepairOrderNo, [qryRepairOrderSumary].[REPAIRS DONE BY SUB], [qryRepairOrderSumary].[RETURN DATE], [qryRepairOrderSumary].CustID FROM qryRepairOrderSumary; ","SELECT [qryRepairOrderSumary].RepairOrderNo, qryRepairOrderSumary.[REPAIRSDONEBY], [qryRepairOrderSumary].[RETURN DATE], [qryRepairOrderSumary].CustID FROM qryRepairOrderSumary; ","07/27/12 19:28:21"
"Form","qryRepairOrderSumarysubform",,"RecordSource","SELECT [qryRepairOrderSumary].RepairOrderNo, [qryRepairOrderSumary].[REPAIRS DONE BY SUB], [qryRepairOrderSumary].[RETURN DATE], [qryRepairOrderSumary].CustID FROM qryRepairOrderSumary; ","SELECT [qryRepairOrderSumary].RepairOrderNo, qryRepairOrderSumary.[REPAIRSDONEBY], [qryRepairOrderSumary].[RETURN DATE], [qryRepairOrderSumary].CustID FROM qryRepairOrderSumary; ","07/27/12 19:29:18"
"Form","tblOrdDetCustAwngssubform",,"RecordSource","SELECT tblOrdDetCustAwngs.* FROM tblOrdDetCustAwngs;","SELECT tblOrdDetCustAwngs.* FROM tblOrdDetCustAwngs; ","07/27/12 19:40:30"
"Form","qryRepairOrderSumarysubform",,"RecordSource","SELECT [qryRepairOrderSumary].RepairOrderNo, qryRepairOrderSumary.[REPAIRSDONEBY], [qryRepairOrderSumary].[RETURN DATE], [qryRepairOrderSumary].CustID FROM qryRepairOrderSumary;","SELECT [qryRepairOrderSumary].RepairOrderNo, qryRepairOrderSumary.[REPAIRSDONEBY], [qryRepairOrderSumary].[RETURN DATE], [qryRepairOrderSumary].CustID FROM qryRepairOrderSumary; ","07/27/12 19:52:11"
"Form","tblOrdDetCustAwngssubform","Description","RowSource","SELECT DISTINCTROW tblCustAwngs.* FROM tblCustAwngs WHERE ((([tblCustAwngs].[CustID])=[forms]![repairorderdetail]![custid]));","SELECT DISTINCTROW tblCustAwngs.* FROM tblCustAwngs WHERE ((([tblCustAwngs].[CustID])=[forms]![repairorderdetail]![custid])); ","08/08/12 11:17:11"
"Form","qryRepairOrderSumarysubform",,"RecordSource","SELECT [qryRepairOrderSumary].RepairOrderNo, qryRepairOrderSumary.[REPAIRSDONEBY], [qryRepairOrderSumary].[RETURNSTATUS], [qryRepairOrderSumary].CustID FROM qryRepairOrderSumary;","SELECT [qryRepairOrderSumary].RepairOrderNo, qryRepairOrderSumary.[REPAIRSDONEBY], [qryRepairOrderSumary].[RETURNSTATUS], [qryRepairOrderSumary].CustID FROM qryRepairOrderSumary; ","08/08/12 12:20:25"
"Report","InHouseRepairOrder",,"RecordSource","SELECT tblCustomers.CustID AS tblCustomers_CustID, tblCustomers.Name, tblCustomers.Contact, tblCustomers.Address, tblCustomers.Address2, tblCustomers.City, tblCustomers.State, tblCustomers.ZipCode, tblCustomers.HomePhone, tblCustomers.WorkPhone, tblCustomers.CellPhone, tblCustomers.EmailAddress, tblCustomers.Source, tblCustomers.SourceAddress, tblCustomers.SourceState, tblCustomers.SourceCity, tblCustomers.SourceZip, tblRepairWorkOrderDetail.RepairOrderNo, tblRepairWorkOrderDetail.SOURCE, tblRepairWorkOrderDetail.SUB, tblRepairWorkOrderDetail.[WO DATE], tblRepairWorkOrderDetail.[DATE TO SUB], tblRepairWorkOrderDetail.DateRequired, tblRepairWorkOrderDetail.[QUOTE?], tblRepairWorkOrderDetail.[QUOTE  BY], tblRepairWorkOrderDetail.APPROVED, tblRepairWorkOrderDetail.[RACK#], tblRepairWorkOrderDetail.STORAGE, tblRepairWorkOrderDetail.[TYPE OF REPAIR], tblRepairWorkOrderDetail.[SPECIAL INSTRUCTIONS], tblRepairWorkOrderDetail.[CLEAN & TREAT], tblRepairWorkOrderDetail.[CLEAN & TREAT WO#], tblRepairWorkOrderDetail.[REPAIRS DONE BY SUB], tblRepairWorkOrderDetail.DateCompleted, tblRepairWorkOrderDetail.[ACI PRICE], tblRepairWorkOrderDetail.[CUSTOMER PRICE], tblRepairWorkOrderDetail.[RETURN DATE], tblRepairWorkOrderDetail.[LOCATION NOW], tblRepairWorkOrderDetail.[DATE OUT] FROM tblCustomers INNER JOIN tblRepairWorkOrderDetail ON tblCustomers.CustID = tblRepairWorkOrderDetail.CustID; ","SELECT tblCustomers.CustID AS tblCustomers_CustID, tblCustomers.Name, tblCustomers.Contact, tblCustomers.Address, tblCustomers.Address2, tblCustomers.City, tblCustomers.State, tblCustomers.ZipCode, tblCustomers.HomePhone, tblCustomers.WorkPhone, tblCustomers.CellPhone, tblCustomers.EmailAddress, tblCustomers.Source, tblCustomers.SourceAddress, tblCustomers.SourceState, tblCustomers.SourceCity, tblCustomers.SourceZip, tblRepairWorkOrderDetail.RepairOrderNo, tblRepairWorkOrderDetail.SOURCE, tblRepairWorkOrderDetail.SUB, tblRepairWorkOrderDetail.[WO DATE], tblRepairWorkOrderDetail.[DATE TO SUB], tblRepairWorkOrderDetail.DateRequired, tblRepairWorkOrderDetail.[QUOTE], tblRepairWorkOrderDetail.[QUOTE  BY], tblRepairWorkOrderDetail.APPROVED, tblRepairWorkOrderDetail.[RACK#], tblRepairWorkOrderDetail.STORAGE, tblRepairWorkOrderDetail.[TYPE OF REPAIR], tblRepairWorkOrderDetail.[SPECIALINSTRUCTIONS], tblRepairWorkOrderDetail.[CLEAN & TREAT], tblRepairWorkOrderDetail.[SEECLEAN], tblRepairWorkOrderDetail.[REPAIRSDONEBY], tblRepairWorkOrderDetail.DateCompleted, tblRepairWorkOrderDetail.[ACI PRICE], tblRepairWorkOrderDetail.[CUSTOMER PRICE], tblRepairWorkOrderDetail.[RETURN DATE], tblRepairWorkOrderDetail.[LOCATION], tblRepairWorkOrderDetail.[DATE OUT] FROM tblCustomers INNER JOIN tblRepairWorkOrderDetail ON tblCustomers.CustID = tblRepairWorkOrderDetail.CustID; ","08/08/12 12:25:01"
"Report","InHouseRepairOrder",,"RecordSource","SELECT tblCustomers.CustID AS tblCustomers_CustID, tblCustomers.Name, tblCustomers.Contact, tblCustomers.Address, tblCustomers.Address2, tblCustomers.City, tblCustomers.State, tblCustomers.ZipCode, tblCustomers.HomePhone, tblCustomers.WorkPhone, tblCustomers.CellPhone, tblCustomers.EmailAddress, tblCustomers.Source, tblCustomers.SourceAddress, tblCustomers.SourceState, tblCustomers.SourceCity, tblCustomers.SourceZip, tblRepairWorkOrderDetail.RepairOrderNo, tblRepairWorkOrderDetail.SOURCE, tblRepairWorkOrderDetail.SUB, tblRepairWorkOrderDetail.[WO DATE], tblRepairWorkOrderDetail.[DATE TO SUB], tblRepairWorkOrderDetail.DateRequired, tblRepairWorkOrderDetail.[QUOTE?], tblRepairWorkOrderDetail.[QUOTE  BY], tblRepairWorkOrderDetail.APPROVED, tblRepairWorkOrderDetail.[RACK#], tblRepairWorkOrderDetail.STORAGE, tblRepairWorkOrderDetail.[TYPE OF REPAIR], tblRepairWorkOrderDetail.[SPECIAL INSTRUCTIONS], tblRepairWorkOrderDetail.[CLEAN & TREAT], tblRepairWorkOrderDetail.[CLEAN & TREAT WO#], tblRepairWorkOrderDetail.[REPAIRS DONE BY SUB], tblRepairWorkOrderDetail.DateCompleted, tblRepairWorkOrderDetail.[ACI PRICE], tblRepairWorkOrderDetail.[CUSTOMER PRICE], tblRepairWorkOrderDetail.[RETURN DATE], tblRepairWorkOrderDetail.[LOCATION NOW], tblRepairWorkOrderDetail.[DATE OUT] FROM tblCustomers INNER JOIN tblRepairWorkOrderDetail ON tblCustomers.CustID = tblRepairWorkOrderDetail.CustID; ","SELECT tblCustomers.CustID AS tblCustomers_CustID, tblCustomers.Name, tblCustomers.Contact, tblCustomers.Address, tblCustomers.Address2, tblCustomers.City, tblCustomers.State, tblCustomers.ZipCode, tblCustomers.HomePhone, tblCustomers.WorkPhone, tblCustomers.CellPhone, tblCustomers.EmailAddress, tblCustomers.Source, tblCustomers.SourceAddress, tblCustomers.SourceState, tblCustomers.SourceCity, tblCustomers.SourceZip, tblRepairWorkOrderDetail.RepairOrderNo, tblRepairWorkOrderDetail.SOURCE, tblRepairWorkOrderDetail.SUB, tblRepairWorkOrderDetail.[WO DATE], tblRepairWorkOrderDetail.[DATE TO SUB], tblRepairWorkOrderDetail.DateRequired, tblRepairWorkOrderDetail.[QUOTE], tblRepairWorkOrderDetail.[QUOTE  BY], tblRepairWorkOrderDetail.APPROVED, tblRepairWorkOrderDetail.[RACK#], tblRepairWorkOrderDetail.STORAGE, tblRepairWorkOrderDetail.[TYPE OF REPAIR], tblRepairWorkOrderDetail.[SPECIALINSTRUCTIONS], tblRepairWorkOrderDetail.[CLEAN & TREAT], tblRepairWorkOrderDetail.[SEECLEAN], tblRepairWorkOrderDetail.[REPAIRSDONEBY], tblRepairWorkOrderDetail.DateCompleted, tblRepairWorkOrderDetail.[ACI PRICE], tblRepairWorkOrderDetail.[CUSTOMER PRICE], tblRepairWorkOrderDetail.[RETURN DATE], tblRepairWorkOrderDetail.[LOCATION], tblRepairWorkOrderDetail.[DATE OUT] FROM tblCustomers INNER JOIN tblRepairWorkOrderDetail ON tblCustomers.CustID = tblRepairWorkOrderDetail.CustID; ","08/08/12 12:25:13"
"Report","InHouseRepairOrder",,"RecordSource","SELECT tblCustomers.CustID AS tblCustomers_CustID, tblCustomers.Name, tblCustomers.Contact, tblCustomers.Address, tblCustomers.Address2, tblCustomers.City, tblCustomers.State, tblCustomers.ZipCode, tblCustomers.HomePhone, tblCustomers.WorkPhone, tblCustomers.CellPhone, tblCustomers.EmailAddress, tblCustomers.Source, tblCustomers.SourceAddress, tblCustomers.SourceState, tblCustomers.SourceCity, tblCustomers.SourceZip, tblRepairWorkOrderDetail.RepairOrderNo, tblRepairWorkOrderDetail.SOURCE, tblRepairWorkOrderDetail.[WO DATE], tblRepairWorkOrderDetail.[DATE TO SUB], tblRepairWorkOrderDetail.DateRequired, tblRepairWorkOrderDetail.QUOTE, tblRepairWorkOrderDetail.[QUOTE  BY], tblRepairWorkOrderDetail.APPROVED, tblRepairWorkOrderDetail.[RACK#], tblRepairWorkOrderDetail.STORAGE, tblRepairWorkOrderDetail.[TYPE OF REPAIR], tblRepairWorkOrderDetail.SPECIALINSTRUCTIONS, tblRepairWorkOrderDetail.SEECLEAN, tblRepairWorkOrderDetail.REPAIRSDONEBY, tblRepairWorkOrderDetail.DateCompleted, tblRepairWorkOrderDetail.LOCATION, tblRepairWorkOrderDetail.RushOrder, tblRepairWorkOrderDetail.FirmRush, tblRepairWorkOrderDetail.RushOrder FROM tblCustomers INNER JOIN tblRepairWorkOrderDetail ON tblCustomers.CustID = tblRepairWorkOrderDetail.CustID;","SELECT tblCustomers.CustID AS tblCustomers_CustID, tblCustomers.Name, tblCustomers.Contact, tblCustomers.Address, tblCustomers.Address2, tblCustomers.City, tblCustomers.State, tblCustomers.ZipCode, tblCustomers.HomePhone, tblCustomers.WorkPhone, tblCustomers.CellPhone, tblCustomers.EmailAddress, tblCustomers.Source, tblCustomers.SourceAddress, tblCustomers.SourceState, tblCustomers.SourceCity, tblCustomers.SourceZip, tblRepairWorkOrderDetail.RepairOrderNo, tblRepairWorkOrderDetail.SOURCE, tblRepairWorkOrderDetail.[WO DATE], tblRepairWorkOrderDetail.[DATE TO SUB], tblRepairWorkOrderDetail.DateRequired, tblRepairWorkOrderDetail.QUOTE, tblRepairWorkOrderDetail.[QUOTE  BY], tblRepairWorkOrderDetail.APPROVED, tblRepairWorkOrderDetail.[RACK#], tblRepairWorkOrderDetail.STORAGE, tblRepairWorkOrderDetail.[TYPE OF REPAIR], tblRepairWorkOrderDetail.SPECIALINSTRUCTIONS, tblRepairWorkOrderDetail.SEECLEAN, tblRepairWorkOrderDetail.REPAIRSDONEBY, tblRepairWorkOrderDetail.DateCompleted, tblRepairWorkOrderDetail.LOCATION, tblRepairWorkOrderDetail.RushOrder, tblRepairWorkOrderDetail.FirmRush, tblRepairWorkOrderDetail.RushOrder FROM tblCustomers INNER JOIN tblRepairWorkOrderDetail ON tblCustomers.CustID = tblRepairWorkOrderDetail.CustID; ","08/08/12 12:36:10"
"Report","InHouseRepairOrder","RushOrder","ControlSource","RushOrder","Expr1033","08/08/12 12:36:10"
"Report","InHouseRepairOrder",,"RecordSource","SELECT tblCustomers.CustID AS tblCustomers_CustID, tblCustomers.Name, tblCustomers.Contact, tblCustomers.Address, tblCustomers.Address2, tblCustomers.City, tblCustomers.State, tblCustomers.ZipCode, tblCustomers.HomePhone, tblCustomers.WorkPhone, tblCustomers.CellPhone, tblCustomers.EmailAddress, tblCustomers.Source, tblCustomers.SourceAddress, tblCustomers.SourceState, tblCustomers.SourceCity, tblCustomers.SourceZip, tblRepairWorkOrderDetail.RepairOrderNo, tblRepairWorkOrderDetail.SOURCE, tblRepairWorkOrderDetail.[WO DATE], tblRepairWorkOrderDetail.[DATE TO SUB], tblRepairWorkOrderDetail.DateRequired, tblRepairWorkOrderDetail.QUOTE, tblRepairWorkOrderDetail.[QUOTE  BY], tblRepairWorkOrderDetail.APPROVED, tblRepairWorkOrderDetail.[RACK#], tblRepairWorkOrderDetail.STORAGE, tblRepairWorkOrderDetail.[TYPE OF REPAIR], tblRepairWorkOrderDetail.SPECIALINSTRUCTIONS, tblRepairWorkOrderDetail.SEECLEAN, tblRepairWorkOrderDetail.REPAIRSDONEBY, tblRepairWorkOrderDetail.DateCompleted, tblRepairWorkOrderDetail.LOCATION, tblRepairWorkOrderDetail.RushOrder, tblRepairWorkOrderDetail.FirmRush, tblRepairWorkOrderDetail.RushOrder, tblRepairWorkOrderDetail.DateIn FROM tblCustomers INNER JOIN tblRepairWorkOrderDetail ON tblCustomers.CustID = tblRepairWorkOrderDetail.CustID;","SELECT tblCustomers.CustID AS tblCustomers_CustID, tblCustomers.Name, tblCustomers.Contact, tblCustomers.Address, tblCustomers.Address2, tblCustomers.City, tblCustomers.State, tblCustomers.ZipCode, tblCustomers.HomePhone, tblCustomers.WorkPhone, tblCustomers.CellPhone, tblCustomers.EmailAddress, tblCustomers.Source, tblCustomers.SourceAddress, tblCustomers.SourceState, tblCustomers.SourceCity, tblCustomers.SourceZip, tblRepairWorkOrderDetail.RepairOrderNo, tblRepairWorkOrderDetail.SOURCE, tblRepairWorkOrderDetail.[WO DATE], tblRepairWorkOrderDetail.[DATE TO SUB], tblRepairWorkOrderDetail.DateRequired, tblRepairWorkOrderDetail.QUOTE, tblRepairWorkOrderDetail.[QUOTE  BY], tblRepairWorkOrderDetail.APPROVED, tblRepairWorkOrderDetail.[RACK#], tblRepairWorkOrderDetail.STORAGE, tblRepairWorkOrderDetail.[TYPE OF REPAIR], tblRepairWorkOrderDetail.SPECIALINSTRUCTIONS, tblRepairWorkOrderDetail.SEECLEAN, tblRepairWorkOrderDetail.REPAIRSDONEBY, tblRepairWorkOrderDetail.DateCompleted, tblRepairWorkOrderDetail.LOCATION, tblRepairWorkOrderDetail.RushOrder, tblRepairWorkOrderDetail.FirmRush, tblRepairWorkOrderDetail.RushOrder, tblRepairWorkOrderDetail.DateIn FROM tblCustomers INNER JOIN tblRepairWorkOrderDetail ON tblCustomers.CustID = tblRepairWorkOrderDetail.CustID; ","08/08/12 12:43:09"
"Report","InHouseRepairOrder","RushOrder","ControlSource","RushOrder","Expr1033","08/08/12 12:43:09"
"Report","InHouseRepairOrder","RushOrder","ControlSource","RushOrder","Expr1033","08/08/12 14:51:52"
"Report","InHouseRepairOrder",,"RecordSource","SELECT tblCustomers.CustID AS tblCustomers_CustID, tblCustomers.Name, tblCustomers.Contact, tblCustomers.Address, tblCustomers.Address2, tblCustomers.City, tblCustomers.State, tblCustomers.ZipCode, tblCustomers.HomePhone, tblCustomers.WorkPhone, tblCustomers.CellPhone, tblCustomers.EmailAddress, tblCustomers.Source, tblCustomers.SourceAddress, tblCustomers.SourceState, tblCustomers.SourceCity, tblCustomers.SourceZip, tblRepairWorkOrderDetail.RepairOrderNo, tblRepairWorkOrderDetail.SOURCE, tblRepairWorkOrderDetail.[WO DATE], tblRepairWorkOrderDetail.[DATE TO SUB], tblRepairWorkOrderDetail.DateRequired, tblRepairWorkOrderDetail.QUOTE, tblRepairWorkOrderDetail.[QUOTE  BY], tblRepairWorkOrderDetail.APPROVED, tblRepairWorkOrderDetail.[RACK#], tblRepairWorkOrderDetail.STORAGE, tblRepairWorkOrderDetail.[TYPE OF REPAIR], tblRepairWorkOrderDetail.SPECIALINSTRUCTIONS, tblRepairWorkOrderDetail.SEECLEAN, tblRepairWorkOrderDetail.REPAIRSDONEBY, tblRepairWorkOrderDetail.DateCompleted, tblRepairWorkOrderDetail.LOCATION, tblRepairWorkOrderDetail.RushOrder, tblRepairWorkOrderDetail.FirmRush, tblRepairWorkOrderDetail.RushOrder, tblRepairWorkOrderDetail.DateIn, tblRepairWorkOrderDetail.CLEAN, tblRepairWorkOrderDetail.CLEANFIRST FROM tblCustomers INNER JOIN tblRepairWorkOrderDetail ON tblCustomers.CustID = tblRepairWorkOrderDetail.CustID;","SELECT tblCustomers.CustID AS tblCustomers_CustID, tblCustomers.Name, tblCustomers.Contact, tblCustomers.Address, tblCustomers.Address2, tblCustomers.City, tblCustomers.State, tblCustomers.ZipCode, tblCustomers.HomePhone, tblCustomers.WorkPhone, tblCustomers.CellPhone, tblCustomers.EmailAddress, tblCustomers.Source, tblCustomers.SourceAddress, tblCustomers.SourceState, tblCustomers.SourceCity, tblCustomers.SourceZip, tblRepairWorkOrderDetail.RepairOrderNo, tblRepairWorkOrderDetail.SOURCE, tblRepairWorkOrderDetail.[WO DATE], tblRepairWorkOrderDetail.[DATE TO SUB], tblRepairWorkOrderDetail.DateRequired, tblRepairWorkOrderDetail.QUOTE, tblRepairWorkOrderDetail.[QUOTE  BY], tblRepairWorkOrderDetail.APPROVED, tblRepairWorkOrderDetail.[RACK#], tblRepairWorkOrderDetail.STORAGE, tblRepairWorkOrderDetail.[TYPE OF REPAIR], tblRepairWorkOrderDetail.SPECIALINSTRUCTIONS, tblRepairWorkOrderDetail.SEECLEAN, tblRepairWorkOrderDetail.REPAIRSDONEBY, tblRepairWorkOrderDetail.DateCompleted, tblRepairWorkOrderDetail.LOCATION, tblRepairWorkOrderDetail.RushOrder, tblRepairWorkOrderDetail.FirmRush, tblRepairWorkOrderDetail.RushOrder, tblRepairWorkOrderDetail.DateIn, tblRepairWorkOrderDetail.CLEAN, tblRepairWorkOrderDetail.CLEANFIRST FROM tblCustomers INNER JOIN tblRepairWorkOrderDetail ON tblCustomers.CustID = tblRepairWorkOrderDetail.CustID; ","08/08/12 15:06:10"
"Report","InHouseRepairOrder",,"RecordSource","SELECT tblCustomers.CustID AS tblCustomers_CustID, tblCustomers.Name, tblCustomers.Contact, tblCustomers.Address, tblCustomers.Address2, tblCustomers.City, tblCustomers.State, tblCustomers.ZipCode, tblCustomers.HomePhone, tblCustomers.WorkPhone, tblCustomers.CellPhone, tblCustomers.EmailAddress, tblCustomers.Source, tblCustomers.SourceAddress, tblCustomers.SourceState, tblCustomers.SourceCity, tblCustomers.SourceZip, tblRepairWorkOrderDetail.RepairOrderNo, tblRepairWorkOrderDetail.SOURCE, tblRepairWorkOrderDetail.[WO DATE], tblRepairWorkOrderDetail.[DATE TO SUB], tblRepairWorkOrderDetail.DateRequired, tblRepairWorkOrderDetail.QUOTE, tblRepairWorkOrderDetail.[QUOTE  BY], tblRepairWorkOrderDetail.APPROVED, tblRepairWorkOrderDetail.[RACK#], tblRepairWorkOrderDetail.STORAGE, tblRepairWorkOrderDetail.[TYPE OF REPAIR], tblRepairWorkOrderDetail.SPECIALINSTRUCTIONS, tblRepairWorkOrderDetail.SEECLEAN, tblRepairWorkOrderDetail.REPAIRSDONEBY, tblRepairWorkOrderDetail.DateCompleted, tblRepairWorkOrderDetail.LOCATION, tblRepairWorkOrderDetail.RushOrder, tblRepairWorkOrderDetail.FirmRush, tblRepairWorkOrderDetail.RushOrder, tblRepairWorkOrderDetail.DateIn, tblRepairWorkOrderDetail.CLEAN, tblRepairWorkOrderDetail.CLEANFIRST, tblRepairWorkOrderDetail.CUSTOMERPRICE, tblRepairWorkOrderDetail.RETURNSTATUS FROM tblCustomers INNER JOIN tblRepairWorkOrderDetail ON tblCustomers.CustID = tblRepairWorkOrderDetail.CustID;","SELECT tblCustomers.CustID AS tblCustomers_CustID, tblCustomers.Name, tblCustomers.Contact, tblCustomers.Address, tblCustomers.Address2, tblCustomers.City, tblCustomers.State, tblCustomers.ZipCode, tblCustomers.HomePhone, tblCustomers.WorkPhone, tblCustomers.CellPhone, tblCustomers.EmailAddress, tblCustomers.Source, tblCustomers.SourceAddress, tblCustomers.SourceState, tblCustomers.SourceCity, tblCustomers.SourceZip, tblRepairWorkOrderDetail.RepairOrderNo, tblRepairWorkOrderDetail.SOURCE, tblRepairWorkOrderDetail.[WO DATE], tblRepairWorkOrderDetail.[DATE TO SUB], tblRepairWorkOrderDetail.DateRequired, tblRepairWorkOrderDetail.QUOTE, tblRepairWorkOrderDetail.[QUOTE  BY], tblRepairWorkOrderDetail.APPROVED, tblRepairWorkOrderDetail.[RACK#], tblRepairWorkOrderDetail.STORAGE, tblRepairWorkOrderDetail.[TYPE OF REPAIR], tblRepairWorkOrderDetail.SPECIALINSTRUCTIONS, tblRepairWorkOrderDetail.SEECLEAN, tblRepairWorkOrderDetail.REPAIRSDONEBY, tblRepairWorkOrderDetail.DateCompleted, tblRepairWorkOrderDetail.LOCATION, tblRepairWorkOrderDetail.RushOrder, tblRepairWorkOrderDetail.FirmRush, tblRepairWorkOrderDetail.RushOrder, tblRepairWorkOrderDetail.DateIn, tblRepairWorkOrderDetail.CLEAN, tblRepairWorkOrderDetail.CLEANFIRST, tblRepairWorkOrderDetail.CUSTOMERPRICE, tblRepairWorkOrderDetail.RETURNSTATUS FROM tblCustomers INNER JOIN tblRepairWorkOrderDetail ON tblCustomers.CustID = tblRepairWorkOrderDetail.CustID; ","08/08/12 15:27:08"
"Report","InHouseRepairOrder",,"RecordSource","SELECT tblCustomers.CustID AS tblCustomers_CustID, tblCustomers.Name, tblCustomers.Contact, tblCustomers.Address, tblCustomers.Address2, tblCustomers.City, tblCustomers.State, tblCustomers.ZipCode, tblCustomers.HomePhone, tblCustomers.WorkPhone, tblCustomers.CellPhone, tblCustomers.EmailAddress, tblCustomers.Source, tblCustomers.SourceAddress, tblCustomers.SourceState, tblCustomers.SourceCity, tblCustomers.SourceZip, tblRepairWorkOrderDetail.RepairOrderNo, tblRepairWorkOrderDetail.SOURCE, tblRepairWorkOrderDetail.[WO DATE], tblRepairWorkOrderDetail.[DATE TO SUB], tblRepairWorkOrderDetail.DateRequired, tblRepairWorkOrderDetail.QUOTE, tblRepairWorkOrderDetail.[QUOTE  BY], tblRepairWorkOrderDetail.APPROVED, tblRepairWorkOrderDetail.[RACK#], tblRepairWorkOrderDetail.STORAGE, tblRepairWorkOrderDetail.[TYPE OF REPAIR], tblRepairWorkOrderDetail.SPECIALINSTRUCTIONS, tblRepairWorkOrderDetail.SEECLEAN, tblRepairWorkOrderDetail.REPAIRSDONEBY, tblRepairWorkOrderDetail.DateCompleted, tblRepairWorkOrderDetail.LOCATION, tblRepairWorkOrderDetail.RushOrder, tblRepairWorkOrderDetail.FirmRush, tblRepairWorkOrderDetail.RushOrder, tblRepairWorkOrderDetail.DateIn, tblRepairWorkOrderDetail.CLEAN, tblRepairWorkOrderDetail.CLEANFIRST, tblRepairWorkOrderDetail.CUSTOMERPRICE, tblRepairWorkOrderDetail.RETURNSTATUS, tblRepairWorkOrderDetail.MaterialList FROM tblCustomers INNER JOIN tblRepairWorkOrderDetail ON tblCustomers.CustID = tblRepairWorkOrderDetail.CustID;","SELECT tblCustomers.CustID AS tblCustomers_CustID, tblCustomers.Name, tblCustomers.Contact, tblCustomers.Address, tblCustomers.Address2, tblCustomers.City, tblCustomers.State, tblCustomers.ZipCode, tblCustomers.HomePhone, tblCustomers.WorkPhone, tblCustomers.CellPhone, tblCustomers.EmailAddress, tblCustomers.Source, tblCustomers.SourceAddress, tblCustomers.SourceState, tblCustomers.SourceCity, tblCustomers.SourceZip, tblRepairWorkOrderDetail.RepairOrderNo, tblRepairWorkOrderDetail.SOURCE, tblRepairWorkOrderDetail.[WO DATE], tblRepairWorkOrderDetail.[DATE TO SUB], tblRepairWorkOrderDetail.DateRequired, tblRepairWorkOrderDetail.QUOTE, tblRepairWorkOrderDetail.[QUOTE  BY], tblRepairWorkOrderDetail.APPROVED, tblRepairWorkOrderDetail.[RACK#], tblRepairWorkOrderDetail.STORAGE, tblRepairWorkOrderDetail.[TYPE OF REPAIR], tblRepairWorkOrderDetail.SPECIALINSTRUCTIONS, tblRepairWorkOrderDetail.SEECLEAN, tblRepairWorkOrderDetail.REPAIRSDONEBY, tblRepairWorkOrderDetail.DateCompleted, tblRepairWorkOrderDetail.LOCATION, tblRepairWorkOrderDetail.RushOrder, tblRepairWorkOrderDetail.FirmRush, tblRepairWorkOrderDetail.RushOrder, tblRepairWorkOrderDetail.DateIn, tblRepairWorkOrderDetail.CLEAN, tblRepairWorkOrderDetail.CLEANFIRST, tblRepairWorkOrderDetail.CUSTOMERPRICE, tblRepairWorkOrderDetail.RETURNSTATUS, tblRepairWorkOrderDetail.MaterialList FROM tblCustomers INNER JOIN tblRepairWorkOrderDetail ON tblCustomers.CustID = tblRepairWorkOrderDetail.CustID; ","08/08/12 15:38:14"
"Form","tblOrdDetCustAwngssubform","RepairOrderNo","DefaultValue","=[Forms]![RepairOrderDetail]![RepairOrderNo]","=Forms![frmRepairOrderDetail]!RepairOrderNo","08/12/12 16:33:44"
"Form","tblOrdDetCustAwngssubform","Description","RowSource","SELECT DISTINCTROW tblCustAwngs.* FROM tblCustAwngs WHERE ((([tblCustAwngs].[CustID])=[forms]![repairorderdetail]![custid])); ","SELECT DISTINCTROW tblCustAwngs.* FROM tblCustAwngs WHERE (((tblCustAwngs.CustID)=forms![frmRepairOrderDetail]!custid)); ","08/12/12 16:33:44"
"Form","tblOrdDetCustAwngssubform",,"RecordSource","SELECT tblOrdDetCustAwngs.* FROM tblOrdDetCustAwngs;","SELECT tblOrdDetCustAwngs.* FROM tblOrdDetCustAwngs; ","08/12/12 16:37:35"
"Form","tblOrdDetCustAwngssubform",,"RecordSource","SELECT tblRepOrdDetCustAwngs.* FROM tblRepOrdDetCustAwngs;","SELECT tblRepOrdDetCustAwngs.* FROM tblRepOrdDetCustAwngs; ","08/12/12 16:53:48"
"Form","tblOrdDetCustAwngssubform",,"RecordSource","SELECT tblRepOrdDetCustAwngs.* FROM tblRepOrdDetCustAwngs;","SELECT tblRepOrdDetCustAwngs.* FROM tblRepOrdDetCustAwngs; ","08/12/12 16:56:05"
"Form","tblOrdDetCustAwngssubform",,"RecordSource","SELECT tblRepOrdDetCustAwngs.* FROM tblRepOrdDetCustAwngs;","SELECT tblRepOrdDetCustAwngs.* FROM tblRepOrdDetCustAwngs; ","08/12/12 18:12:58"
